955.527, 743.279, 180.466
1324.905, 407.664, 142.069
1902.431, 777.915, 157.769
1005.556, 457.689, 33.173
516.524, 793.324, 246.391
852.596, 614.471, 170.380
74.013, 876.191, 245.757
443.225, 397.152, 165.758
1169.976, 479.131, 37.285
1725.020, 47.342, 212.639
729.433, 966.937, 113.113
504.975, 204.313, 140.135
165.641, 305.064, 127.900
1603.667, 169.711, 105.992
1158.334, 145.116, 81.737
1333.293, 197.622, 209.816
66.337, 12.643, 244.818
446.873, 11.227, 145.189
667.550, 83.946, 23.765
476.370, 997.575, 254.139
1935.197, 925.730, 191.215
64.043, 1017.731, 132.961
740.391, 955.154, 225.354
1638.940, 268.195, 122.920
1705.059, 686.532, 177.749
30.111, 204.493, 247.305
1779.719, 548.603, 42.722
1498.636, 156.769, 122.756
1891.025, 603.426, 206.798
126.005, 204.700, 182.208
947.282, 783.726, 104.620
1338.464, 797.827, 37.651
1188.505, 662.879, 167.555
645.137, 199.254, 225.930
992.774, 511.826, 75.827
130.234, 370.625, 209.470
1507.474, 86.768, 160.068
242.993, 297.638, 156.940
1581.455, 1027.933, 192.934
1611.746, 152.096, 156.267
60.292, 390.741, 48.797
754.015, 255.548, 213.415
1664.134, 1014.090, 116.773
243.357, -5.695, 64.782
105.182, 500.450, 68.549
1163.058, 489.672, 208.244
411.250, 585.225, 145.965
1687.887, 184.716, 73.458
1079.562, 379.769, 170.828
102.665, 748.173, 150.262
660.107, 673.227, 99.488
1851.014, 565.900, 86.373
1015.933, 315.212, 112.602
643.765, 695.964, 191.329
1734.294, 412.431, 96.378
1453.070, 1062.916, 157.691
857.710, 1013.182, 130.849
1259.934, 949.665, 68.787
1056.632, 578.072, 229.088
1580.107, 281.495, 221.531
1109.745, 793.145, 126.959
468.541, 294.370, 197.493
1291.423, 579.785, 249.929
358.194, 57.789, 100.997
866.201, 118.767, 158.742
199.922, 23.145, 193.881
1727.459, 8.616, 240.937
1600.334, 336.397, 228.905
1068.452, -3.558, 122.359
1699.710, 929.185, 98.953
1020.904, 743.694, 194.380
1082.400, 343.319, 140.294
1284.451, 67.765, 52.827
